Quarter,fed_6_m_quarterly
1958Q4,0.59
1959Q1,0.5466666666666666
1959Q2,0.29
1959Q3,0.5533333333333333
1959Q4,0.65
1960Q1,0.2833333333333333
1960Q2,-0.4066666666666667
1960Q3,-0.22666666666666668
1960Q4,0.3333333333333333
1961Q1,0.5333333333333333
1961Q2,0.7533333333333333
1961Q3,0.9133333333333334
1961Q4,0.3466666666666667
1962Q1,0.4566666666666667
1962Q2,0.19666666666666666
1962Q3,0.15333333333333332
1962Q4,-0.043333333333333335
1963Q1,-0.0033333333333333327
1963Q2,0.06
1963Q3,0.08666666666666666
1963Q4,0.17666666666666667
1964Q1,0.21333333333333335
1964Q2,0.11666666666666665
1964Q3,0.16
1964Q4,0.25
1965Q1,0.006666666666666668
1965Q2,-0.14333333333333334
1965Q3,-0.10000000000000002
1965Q4,0.16
1966Q1,0.21333333333333335
1966Q2,-0.18000000000000002
1966Q3,-0.08
1966Q4,-0.15333333333333335
1967Q1,-0.30666666666666664
1967Q2,-0.13
1967Q3,0.9433333333333334
1967Q4,1.0966666666666667
1968Q1,0.46
1968Q2,-0.32666666666666666
1968Q3,-0.6466666666666666
1968Q4,-0.22666666666666668
1969Q1,-0.32
1969Q2,-1.9833333333333334
1969Q3,-1.7333333333333334
1969Q4,-1.3366666666666667
1970Q1,-1.38
1970Q2,-1.0533333333333335
1970Q3,-0.19666666666666666
1970Q4,-0.06
1971Q1,0.060000000000000005
1971Q2,-0.11
1971Q3,-0.19999999999999998
1971Q4,-0.3466666666666667
1972Q1,0.26333333333333336
1972Q2,-0.06666666666666667
1972Q3,-0.013333333333333327
1972Q4,0.03
1973Q1,-0.5499999999999999
1973Q2,-1.0266666666666666
1973Q3,-2.1533333333333333
1973Q4,-2.3833333333333333
1974Q1,-1.843333333333333
1974Q2,-2.97
1974Q3,-3.563333333333334
1974Q4,-1.89
1975Q1,-0.4366666666666667
1975Q2,0.3133333333333333
1975Q3,0.6266666666666667
1975Q4,0.5533333333333333
1976Q1,0.43333333333333335
1976Q2,0.32666666666666666
1976Q3,0.12666666666666668
1976Q4,-0.05666666666666667
1977Q1,0.21
1977Q2,-0.08666666666666667
1977Q3,-0.06333333333333334
1977Q4,-0.10000000000000002
1978Q1,-0.06666666666666667
1978Q2,-0.29000000000000004
1978Q3,-0.5
1978Q4,-0.5333333333333333
1979Q1,-0.6233333333333334
1979Q2,-0.8166666666666668
1979Q3,-1.3033333333333335
1979Q4,-1.8033333333333335
1980Q1,-1.8033333333333335
1980Q2,-3.0766666666666667
1980Q3,-0.49
1980Q4,-2.5966666666666667
1981Q1,-2.9233333333333333
1981Q2,-3.5033333333333334
1981Q3,-2.5166666666666666
1981Q4,-1.373333333333333
1982Q1,-1.1566666666666665
1982Q2,-1.96
1982Q3,-0.63
1982Q4,-1.0233333333333332
1983Q1,-0.47666666666666674
1983Q2,-0.3333333333333333
1983Q3,-0.15333333333333332
1983Q4,-0.4533333333333333
1984Q1,-0.4033333333333333
1984Q2,-0.33666666666666667
1984Q3,-0.8566666666666666
1984Q4,-0.27999999999999997
1985Q1,-0.046666666666666655
1985Q2,-0.26666666666666666
1985Q3,-0.6366666666666667
1985Q4,-0.8466666666666667
1986Q1,-0.88
1986Q2,-0.7400000000000001
1986Q3,-0.62
1986Q4,-0.86
1987Q1,-0.6766666666666667
1987Q2,-0.6699999999999999
1987Q3,-0.66
1987Q4,-0.5033333333333333
1988Q1,-0.6333333333333333
1988Q2,-0.6633333333333334
1988Q3,-0.7133333333333334
1988Q4,-0.61
1989Q1,-0.8566666666666668
1989Q2,-1.3966666666666665
1989Q3,-1.3866666666666667
1989Q4,-1.1033333333333333
1990Q1,-0.55
1990Q2,-0.5
1990Q3,-0.7533333333333333
1990Q4,-0.7799999999999999
1991Q1,-0.3833333333333333
1991Q2,-0.17333333333333334
1991Q3,-0.19666666666666668
1991Q4,-0.23333333333333336
1992Q1,-0.03
1992Q2,0.02666666666666667
1992Q3,-0.10666666666666667
1992Q4,0.21
1993Q1,0.04666666666666666
1993Q2,0.08
1993Q3,0.06
1993Q4,0.21333333333333335
1994Q1,0.24
1994Q2,0.47333333333333333
1994Q3,0.4033333333333333
1994Q4,0.6066666666666667
1995Q1,0.23333333333333336
1995Q2,-0.39999999999999997
1995Q3,-0.4366666666666667
1995Q4,-0.48
1996Q1,-0.48
1996Q2,-0.09999999999999999
1996Q3,-0.08333333333333333
1996Q4,-0.20666666666666667
1997Q1,-0.1366666666666667
1997Q2,-0.25666666666666665
1997Q3,-0.39999999999999997
1997Q4,-0.34
1998Q1,-0.47333333333333333
1998Q2,-0.3933333333333333
1998Q3,-0.6633333333333333
1998Q4,-0.57
1999Q1,-0.32
1999Q2,-0.16333333333333333
1999Q3,-0.31666666666666665
1999Q4,-0.09999999999999999
2000Q1,0.013333333333333334
2000Q2,-0.31333333333333335
2000Q3,-0.5033333333333333
2000Q4,-0.5466666666666666
2001Q1,-0.9466666666666667
2001Q2,-0.6866666666666666
2001Q3,-0.37333333333333335
2001Q4,-0.20666666666666667
2002Q1,0.11666666666666668
2002Q2,0.10666666666666667
2002Q3,-0.11
2002Q4,-0.08666666666666667
2003Q1,-0.08
2003Q2,-0.19999999999999998
2003Q3,-0.02
2003Q4,0.006666666666666667
2004Q1,-0.02
2004Q2,0.3233333333333333
2004Q3,0.31666666666666665
2004Q4,0.2833333333333334
2005Q1,0.3233333333333333
2005Q2,0.14333333333333334
2005Q3,0.12333333333333334
2005Q4,0.12666666666666668
2006Q1,0.02666666666666667
2006Q2,-0.06999999999999999
2006Q3,-0.2733333333333334
2006Q4,-0.33
2007Q1,-0.3233333333333333
2007Q2,-0.45
2007Q3,-0.6533333333333333
