,Quarter,CPI,fed_6_m_quarterly,fed_5_y_quarterly,Interest Rate,GDP,Housing_Index,corporate_yield,Unemployment,SandP_500,WTI_Crude_Oil_Price
0,1947Q1,21.7,,,,243.164,,2.5566666666666666,,15.368709661290323,1.62
1,1947Q2,22.01,,,,245.968,,2.5366666666666666,,14.58920634920635,1.87
2,1947Q3,22.49,,,,249.585,,2.5733333333333333,,15.434531265624999,1.87
3,1947Q4,23.126666666666665,,,,259.745,,2.776666666666667,,15.249016393442622,2.0033333333333334
4,1948Q1,23.616666666666664,,,,265.742,,2.8466666666666662,3.7333333333333334,14.417704918032786,2.57
5,1948Q2,23.993333333333336,,,,272.567,,2.766666666666666,3.6666666666666665,16.130468765625,2.57
6,1948Q3,24.396666666666665,,,,279.196,,2.83,3.7666666666666666,16.037968796875,2.57
7,1948Q4,24.173333333333332,,,,280.366,,2.823333333333333,3.8333333333333335,15.545000048387097,2.57
8,1949Q1,23.94333333333333,,,,275.034,,2.706666666666667,4.666666666666666,15.009841269841269,2.57
9,1949Q2,23.916666666666668,,,,271.351,,2.706666666666667,5.866666666666666,14.526507936507937,2.57
10,1949Q3,23.71666666666667,,,,272.889,,2.6300000000000003,6.7,15.18875,2.57
11,1949Q4,23.66,,,,270.627,,2.5966666666666667,6.966666666666667,16.184999966666666,2.57
12,1950Q1,23.58666666666667,,,,280.828,,2.5766666666666667,6.4,17.142419467741934,2.57
13,1950Q2,23.766666666666666,,,,290.383,,2.61,5.566666666666666,18.362380984126982,2.57
14,1950Q3,24.203333333333333,,,,308.153,,2.6333333333333333,4.633333333333334,18.306825634920635,2.57
15,1950Q4,24.69333333333333,,,,319.945,,2.67,4.233333333333333,19.802131098360654,2.57
16,1951Q1,25.69666666666667,,,,336.0,,2.6999999999999997,3.5,21.575246098360655,2.57
17,1951Q2,25.94666666666667,,,,344.09,,2.9,3.1,21.7920311875,2.57
18,1951Q3,25.933333333333334,,,,351.385,,2.8866666666666667,3.166666666666667,22.75063492063492,2.57
19,1951Q4,26.316666666666666,,,,356.178,,2.953333333333333,3.3666666666666667,23.181639393442623,2.57
20,1952Q1,26.416666666666668,,,,359.82,,2.956666666666667,3.066666666666667,23.90774206451613,2.57
21,1952Q2,26.486666666666668,,,,361.03,,2.9333333333333336,2.966666666666667,23.948571492063493,2.57
22,1952Q3,26.666666666666668,,,,367.701,,2.9466666666666668,3.2333333333333334,25.01562515625,2.57
23,1952Q4,26.69666666666667,,,,380.812,,2.986666666666667,2.833333333333333,25.11475414754098,2.57
24,1953Q1,26.62,,,,387.98,,3.0700000000000003,2.7,26.029016475409836,2.57
25,1953Q2,26.72,,,,391.749,,3.323333333333333,2.566666666666667,24.49187503125,2.653333333333333
