TransactionType,IsFraud,Year,Month,Day,hour,un_amount,standardised_amount,per_100k,FraudCount
1,0,2024,03,19,13,0,0.11273955263824446,8.0,1
0,0,2024,01,08,10,1,-1.1876550643275203,1.0,1
0,0,2024,07,12,18,1,-1.4753182630190047,6.0,1
1,0,2024,01,02,11,1,-0.7142132828549468,6.0,1
0,0,2024,05,12,12,1,-1.0953030659237106,1.0,2
1,0,2023,11,16,02,1,-0.6040994182315922,3.0,2
1,0,2024,08,31,02,0,0.24860881656121261,1.0,1
1,0,2023,11,12,13,1,1.2595030394614957,9.0,1
1,0,2024,07,13,09,1,1.4572545898308575,6.0,1
0,0,2024,03,23,06,1,-0.6745922580912075,8.0,2
1,0,2024,01,04,22,0,0.1558893790826036,1.0,2
1,0,2023,11,05,23,1,-0.789878001012681,1.0,1
0,0,2024,02,29,06,1,1.5452666474643955,8.0,2
1,0,2024,01,16,01,1,-0.4729167357154986,4.0,2
1,0,2024,01,19,11,1,-1.544140295010193,9.0,1
0,0,2024,05,18,17,1,-1.3761582425123098,6.0,1
1,0,2024,03,22,18,1,-0.9151192630173968,6.0,3
0,0,2024,07,15,09,1,0.8074281868291401,8.0,1
0,0,2024,09,22,11,1,1.171179005255015,1.0,1
0,0,2024,08,18,22,1,-0.6619606732933889,4.0,2
1,0,2024,06,23,23,1,1.2920317968003348,3.0,2
0,0,2024,06,12,01,1,-1.133149290628042,8.0,2
1,0,2024,07,24,17,1,-0.9944167750467319,3.0,1
1,0,2024,07,28,09,1,-0.9898272530181063,6.0,1
0,0,2024,08,09,09,1,0.49011334808262264,4.0,1
1,0,2023,12,09,18,1,-1.6906375608514137,6.0,2
0,0,2024,08,07,00,1,-0.6995573167393659,2.0,1
1,0,2024,03,13,02,1,-1.1944838848686021,8.0,1
1,0,2024,03,26,23,0,-0.10421588899893104,4.0,2
1,0,2024,06,14,14,1,-1.303557827582147,2.0,2
1,0,2024,09,07,13,0,-0.007309032630156099,6.0,1
0,0,2024,05,02,10,1,1.020106083010633,6.0,2
1,0,2023,11,02,06,1,-1.7108605755908408,3.0,2
1,0,2024,01,17,02,1,-1.1644994698024302,3.0,2
1,0,2024,10,15,23,1,-0.48253254697486986,9.0,2
0,0,2024,02,28,19,1,-1.1244139465856426,4.0,1
1,0,2023,12,27,13,1,-1.424167970681845,3.0,1
1,0,2024,08,13,17,1,0.9286553502619915,8.0,3
1,0,2024,05,14,17,1,1.5327043907938978,6.0,2
0,0,2024,06,26,05,0,-0.2962963985534649,1.0,1
1,0,2024,09,28,15,1,-1.022563994738907,6.0,1
0,0,2024,06,05,01,1,-1.2313664486031766,4.0,1
0,0,2023,12,23,18,1,-0.49104604100984306,6.0,2
1,0,2024,02,13,02,1,0.6598078053253255,8.0,1
1,0,2024,05,13,18,1,0.6563621973974904,8.0,1
0,0,2024,01,02,23,1,-1.3893444523286933,2.0,2
1,0,2024,03,09,14,1,1.3002402470750973,1.0,1
0,0,2024,03,23,10,1,-1.5682248864413795,1.0,1
1,0,2024,04,30,20,1,-0.5465709381809345,8.0,2
1,0,2024,08,29,16,1,0.6083663348534192,1.0,1
1,0,2024,01,15,05,1,-0.6847141646800192,6.0,3
1,0,2024,02,13,19,1,1.4657819494912943,2.0,2
0,0,2024,01,10,23,1,-1.576766111727281,2.0,2
1,0,2024,09,15,14,1,-1.0328314903950921,6.0,2
0,0,2024,09,09,14,0,-0.2293947556890582,1.0,2
0,0,2024,10,19,22,0,0.017503504137896888,6.0,1
0,0,2023,11,05,09,0,-0.14862748736052575,8.0,1
0,0,2024,05,09,07,0,-0.08260631171309102,4.0,2
1,0,2024,01,25,11,1,-0.9816049371178797,3.0,2
1,0,2024,06,08,00,1,1.1474687857113601,6.0,1
1,0,2023,11,16,17,1,1.0053738559549994,4.0,1
0,0,2024,01,07,10,0,-0.09752572471249031,1.0,1
0,0,2024,08,05,03,1,1.4073175397218083,8.0,1
1,0,2024,09,16,05,0,-0.3404653484694375,6.0,1
1,0,2024,05,05,02,0,-0.3974669347524584,1.0,1
0,0,2024,09,05,21,1,-0.8924004356944266,6.0,1
1,0,2024,07,31,06,1,0.7356735750522894,9.0,1
0,0,2024,10,18,14,1,-1.0906788798314246,9.0,3
0,0,2024,07,20,10,1,0.6232649494146221,6.0,1
0,0,2024,08,24,02,1,-1.430345106826113,3.0,2
1,0,2024,10,16,00,1,1.718330451694881,4.0,2
0,0,2024,04,30,01,0,0.3598804609108217,2.0,1
1,0,2023,11,15,13,1,-1.2877094176766517,1.0,1
0,0,2024,09,27,14,1,0.7601048071200791,8.0,2
1,0,2024,03,06,20,1,0.7599106883635812,2.0,1
1,0,2024,10,01,16,1,-0.7572868483592534,9.0,1
0,0,2023,12,28,13,1,1.367121091501308,3.0,1
1,0,2024,08,10,14,0,0.4070513187397774,6.0,1
1,0,2023,11,22,06,1,0.5349894448972656,8.0,3
0,0,2024,08,16,14,1,0.8851103534919047,9.0,1
0,0,2024,02,01,12,0,0.019929988594118892,8.0,1
1,0,2024,03,05,00,1,-1.0244150557383678,8.0,1
1,0,2024,03,28,06,1,-0.7077172373250039,2.0,1
1,0,2024,09,05,14,1,-0.8363486447556984,1.0,2
0,0,2024,06,05,02,1,0.975444903390684,6.0,2
1,0,2024,09,30,15,1,-1.5210470957996916,3.0,1
1,0,2024,01,21,13,1,-0.7292505536707912,9.0,2
1,0,2023,12,15,20,1,1.6109411824752269,9.0,1
1,0,2024,08,17,06,1,1.453233558446261,9.0,1
1,0,2024,06,25,23,1,1.3556888833061365,3.0,2
0,0,2024,03,01,22,1,-0.9930163468748552,1.0,1
1,0,2024,10,16,13,0,0.3717979659972378,8.0,1
0,0,2024,01,03,07,1,1.4439782534489567,3.0,1
0,0,2024,10,10,04,1,1.3629683366748024,1.0,1
1,0,2023,11,12,00,1,-0.6173965530516888,6.0,1
0,0,2023,10,30,04,0,0.38378479921097447,6.0,1
1,0,2023,11,30,15,1,-0.60163826971171,4.0,2
1,0,2024,03,21,03,1,0.69998345510763,6.0,2
0,0,2024,03,15,03,0,-0.4187576026526235,4.0,1
1,0,2024,01,24,03,0,0.3641233423028441,6.0,1
0,0,2024,09,09,12,1,-0.5875715926783543,6.0,1
0,0,2023,12,07,16,0,0.16549132471651096,8.0,1
0,0,2024,09,08,05,1,0.4971224217547383,2.0,1
0,0,2024,02,20,19,1,-0.5486715804387495,3.0,1
0,0,2023,12,04,17,1,0.5942164640672786,6.0,1
1,0,2024,08,13,02,1,-0.9303159885260786,4.0,3
0,0,2024,03,19,14,1,-1.7158799320088545,6.0,2
1,0,2023,10,23,01,0,0.03351136873622984,4.0,3
0,0,2024,04,08,02,1,0.4691762536317929,6.0,1
1,0,2024,07,06,15,0,-0.026630781714415557,6.0,2
1,0,2024,09,22,01,1,1.0054570497077842,9.0,1
